time,money,total_asset,market_value,profit,profit_ratio
2015-04-29,17938.819899999977,2075978.7199,2058039.9,1075978.7199,1.0759787199
2015-04-30,17938.819899999977,2082159.0199,2064220.2,1082159.0199,1.0821590199
2015-05-04,17938.819899999977,2059909.9398999999,2041971.1199999999,1059909.9398999999,1.0599099398999998
2015-05-05,17938.819899999977,1978329.9799,1960391.16,978329.9798999999,0.9783299798999999
2015-05-06,17938.819899999977,1961025.1399,1943086.32,961025.1399000001,0.9610251399
2015-05-07,17938.819899999977,1954844.8399,1936906.02,954844.8399,0.9548448399
2015-05-08,17938.819899999977,1977093.9198999999,1959155.0999999999,977093.9198999999,0.9770939198999998
2015-05-11,17938.819899999977,1999342.9999000002,1981404.1800000002,999342.9999000002,0.9993429999000002
2015-05-12,17938.819899999977,1990690.5799,1972751.76,990690.5799,0.9906905799
2015-05-13,17938.819899999977,1980802.0999,1962863.28,980802.0999,0.9808020999
2015-05-14,17938.819899999977,1982038.1599,1964099.34,982038.1599000001,0.9820381599000001
2015-05-15,17938.819899999977,1927651.5199,1909712.7,927651.5199,0.9276515198999999
2015-05-18,17938.819899999977,1894277.8999,1876339.08,894277.8999000001,0.8942778999000001
2015-05-19,17938.819899999977,1944956.3599,1927017.54,944956.3599,0.9449563599
2015-05-20,17938.819899999977,1963497.2599,1945558.44,963497.2599,0.9634972598999999
2015-05-21,17938.819899999977,1969677.5599,1951738.74,969677.5599,0.9696775599
2015-05-22,17938.819899999977,2029008.4398999999,2011069.6199999999,1029008.4398999999,1.0290084399
2015-05-25,17938.819899999977,2069798.4199,2051859.6,1069798.4199,1.0697984199000001
2015-05-26,17938.819899999977,2072270.5399000002,2054331.7200000002,1072270.5399000002,1.0722705399
2015-05-27,17938.819899999977,2054965.6999000001,2037026.8800000001,1054965.6999000001,1.0549656999
2015-05-28,17938.819899999977,1933831.8199,1915893.0,933831.8199,0.9338318199
2015-05-29,17938.819899999977,1911582.7399,1893643.92,911582.7398999999,0.9115827398999999
2015-06-01,17938.819899999977,1983274.2199000001,1965335.4000000001,983274.2199000001,0.9832742199000002
2015-06-02,17938.819899999977,1967205.4398999999,1949266.6199999999,967205.4398999999,0.9672054398999999
2015-06-03,17938.819899999977,1974621.7999,1956682.98,974621.7999,0.9746217999
